S,B,is_validation,oom,latency_s,latency_min_s,latency_p90_s,latency_iters,latency_loop_s,memory_bytes,memory_bytes_warm,memory_base_bytes,energy_j,energy_iters,energy_window_s,mean_power_w,sm_clock_mhz,mem_clock_mhz,gpu_temp_c,flops_profiler,elapsed_s
256,95,1,0,0.010472548892721534,0.01046636700630188,0.010479710530489683,66,0.010490338747891096,487711744,487711744,89252864,3.3906923077114812,143,1.5001184409484267,323.22047830849334,1470,9501,77,110303262720,2.35
256,98,1,0,0.010740439873188734,0.010735066141933203,0.010744428541511298,65,0.010787649070107036,502391808,502391808,91350016,3.527769784168374,139,1.499483220744878,327.01933120386263,1470,9501,77,113786523648,2.37
256,128,0,0,0.01372715295292437,0.013721130322664976,0.013746662437915802,50,0.013757233055086311,651289600,651289600,114418688,4.451834862385321,109,1.4995384030044079,323.5995817298009,1455,9501,77,148619132928,2.39
256,167,1,0,0.017899713944643736,0.017894055228680372,0.01791293788701296,39,0.017933560557753206,846324736,846324736,145875968,5.878421686679484,83,1.4884855262935162,327.78887760456854,1455,9501,77,193901524992,2.45
256,256,0,0,0.02720268489792943,0.02719423407688737,0.0273330919444561,25,0.027288003706119276,1288823808,1288823808,215081984,8.760436363653703,55,1.5008402038365602,321.03617611607086,1440,9501,77,297238265856,2.58
352,1,1,0,0.0004899878986179829,0.0004854402504861355,0.000498822657391429,300,0.0004904900898999324,23847936,23847936,15242240,0.15381247957949934,3061,1.5013901651836932,313.5893726433483,1845,9501,79,2194900992,1.68
352,2,1,0,0.0006487229838967323,0.000596832949668169,0.0006560749839991331,300,0.0006528596617732597,32588800,32588800,16729088,0.20604714532753382,2312,1.5094115380197763,315.6071011768141,1695,9501,79,4389801984,1.73
352,4,1,0,0.0010407306253910065,0.0009758472442626953,0.00104308957234025,300,0.0010435811110166607,53257216,53257216,19702784,0.33678070784111475,1441,1.503800380975008,322.71636989770894,1650,9501,79,8779603968,1.85
352,8,1,0,0.0018836460076272488,0.0017519588582217693,0.0018860868643969298,300,0.0018860663301381634,89777152,89777152,26338304,0.6041168341759461,796,1.501308798789978,320.30518997266216,1560,9501,78,17559207936,2.11
352,16,1,0,0.0034019704908132553,0.0032938402146101,0.003404343407601118,212,0.0034096310814757916,164422656,164422656,37544960,1.1149090909145094,440,1.5002376758493483,326.9881885379644,1500,9501,78,35118415872,2.28
352,32,1,0,0.006678137928247452,0.006629255134612322,0.006682931818068028,105,0.0067367940583998075,317842432,317842432,61989888,2.1450446428331946,224,1.5090418690815568,318.4073350377446,1455,9501,78,70236831744,2.32
352,64,1,0,0.013023514300584793,0.01301243994385004,0.01311133587732911,53,0.013121760486746611,616424448,616424448,108913664,4.219530434712119,115,1.5090024559758604,321.56740240564346,1440,9501,78,140473663488,2.4
352,95,1,0,0.019928591791540384,0.019921171944588423,0.019936764799058437,35,0.019977624248713254,909980672,909980672,155005952,6.526373333334923,75,1.4983218186534941,326.6841568388835,1440,9501,78,208515594240,2.49
352,98,1,0,0.019907119683921337,0.01989908842369914,0.019925391674041747,35,0.01995379840955138,936592384,936592384,159466496,6.534866666595141,75,1.4965348807163537,327.499884105628,1455,9501,79,215100297216,2.49
352,128,1,0,0.025906442664563656,0.025898119900375605,0.026113437488675117,27,0.025974002519720478,1219617792,1219617792,204596224,8.476245613997442,57,1.4805181436240673,326.3357508170697,1440,9501,79,280947326976,2.56
352,167,1,0,0.03387261996977031,0.033618665765970945,0.03394024590961635,20,0.033915746501985596,1587459072,1587459072,262059008,11.015159091150219,44,1.4922928460873663,324.78008675130695,1425,9501,79,366548465664,2.66
352,256,1,0,0.05196531116962433,0.051631100941449404,0.052339595183730124,20,0.05196637118102184,2425480192,2425480192,395437056,17.23721428534814,28,1.4550583930686116,331.6994027792186,1425,9501,79,561894653952,3.24
384,1,0,0,0.00048704352229833603,0.00048395292833447456,0.0004925772082060575,300,0.0004851603172731578,24962048,24962048,15524864,0.15675056836809498,3079,1.4938086168840528,323.090250350876,1785,9501,81,2612054016,1.67
384,2,0,0,0.0007102475501596928,0.0006515220738947392,0.0007131909020245075,300,0.0007132346808472723,36168704,36168704,17294336,0.22647986735765654,2111,1.5056384112685919,317.5390561331293,1650,9501,80,5224108032,1.74
384,4,0,0,0.0012006310280412436,0.0011310619302093983,0.001203906536102295,300,0.0012107284659828492,58582016,58582016,20833280,0.3832217774169745,1249,1.5121998540125787,316.5216546766177,1620,9501,80,10448216064,1.91
384,8,0,0,0.0021741834934800863,0.0020923009142279625,0.002176999859511852,300,0.0021778545457280425,103932928,103932928,28435456,0.7073309143845679,689,1.5005417820066214,324.7833588207387,1560,9501,80,20896432128,2.2
384,16,0,0,0.004213028820231557,0.004120452329516411,0.004216720443218946,170,0.004221392452737756,194110464,194110464,43115520,1.3706741572849537,356,1.5028157131746411,324.6971639407779,1515,9501,80,41792864256,2.29
384,32,0,0,0.008131811860948801,0.008071735966950655,0.008136733667925,86,0.008145830254880306,372368384,372368384,70378496,2.6613804348137067,184,1.4988327668979764,326.7169031934134,1470,9501,79,83585728512,2.32
384,64,0,0,0.015594126656651497,0.01558414800092578,0.015709029510617256,44,0.015666760935952578,730981376,730981376,127001600,5.076104166762282,96,1.5040090498514473,324.0046993449347,1440,9501,79,167171457024,2.43
384,95,1,0,0.022840167162939906,0.022823632694780827,0.02291910690255463,30,0.022891552645999652,1079436288,1079436288,181855232,7.451169230846259,65,1.4879509219899774,325.4986389989744,1425,9501,79,248145131520,2.57
384,98,1,0,0.023664592765271664,0.023658677004277706,0.023704066034406425,29,0.023721568508162386,1114760192,1114760192,187819008,7.696523809480289,63,1.4944588160142303,324.4525675792468,1440,9501,79,255981293568,2.53
384,128,0,0,0.03082918655127287,0.03067690273746848,0.030895913252606988,22,0.030922682984964922,1448207360,1448207360,240247808,10.074229166532556,48,1.4842887832783163,325.78768056545414,1440,9501,80,334342914048,2.61
384,167,1,0,0.04020599299110472,0.0401984597556293,0.04028220698237419,20,0.040360767167766355,1886512128,1886512128,309453824,13.069864864687663,37,1.493348385207355,323.8259771019852,1425,9501,79,436213020672,2.88
