S,B,is_validation,oom,latency_s,latency_min_s,latency_p90_s,latency_iters,latency_loop_s,memory_bytes,memory_bytes_warm,memory_base_bytes,energy_j,energy_iters,energy_window_s,mean_power_w,sm_clock_mhz,mem_clock_mhz,gpu_temp_c,flops_profiler,elapsed_s
224,1,0,0,0.0005240165628492832,0.0005164421163499355,0.0005378888454288244,300,,86864896,86864896,14357504,,,,,,,,,0.18
224,2,0,0,0.00042527588084340096,0.0004161382094025612,0.0004291573073714972,300,,21439488,21439488,14959616,,,,,,,,,0.14
224,4,0,0,0.0005755810998380184,0.0005370420403778553,0.0005779937375336886,300,,29008896,29008896,16163840,,,,,,,,,0.18
224,8,0,0,0.0009197541512548923,0.000899722333997488,0.0009218546561896801,300,,44262400,44262400,18572288,,,,,,,,,0.29
224,16,0,0,0.0016023609787225723,0.0015234551392495632,0.001604853570461273,300,,75228160,75228160,23847936,,,,,,,,,0.5
224,32,0,0,0.0029454403556883335,0.002883997280150652,0.0029499280732125043,242,,137880576,137880576,33022976,,,,,,,,,0.75
224,64,0,0,0.005530190654098988,0.005490938201546669,0.005532872024923563,127,,257811456,257811456,52290560,,,,,,,,,0.78
224,95,1,0,0.008237059926614165,0.008231913670897484,0.00824072938412428,84,,377140224,377140224,70956032,,,,,,,,,0.8
224,98,1,0,0.008415346033871174,0.008409630972892046,0.008418331481516361,83,,387466240,387466240,72762368,,,,,,,,,0.81
224,128,0,0,0.010938764084130526,0.010932429227977991,0.010943071823567152,63,,502391808,502391808,91350016,,,,,,,,,0.84
224,167,1,0,0.01387491961941123,0.013869209215044975,0.013878603046759964,50,,651289600,651289600,114418688,,,,,,,,,0.88
224,256,0,0,0.02134524565190077,0.02133785793557763,0.021350369928404687,32,,991028224,991028224,168944640,,,,,,,,,0.97
256,1,0,0,0.0004246458411216736,0.0004120301455259323,0.0004798588342964649,300,,18736128,18736128,14541824,,,,,,,,,0.14
256,2,0,0,0.0004494241438806057,0.0004334840923547745,0.00045227278023958207,300,,23847936,23847936,15328256,,,,,,,,,0.15
256,4,0,0,0.000639207661151886,0.0006014099344611168,0.0006415149662643671,300,,33678336,33678336,16901120,,,,,,,,,0.2
256,8,0,0,0.0011109199840575457,0.0010778279975056648,0.0011129001155495643,300,,53601280,53601280,20046848,,,,,,,,,0.35
256,16,0,0,0.001993622165173292,0.001906147226691246,0.0019974906928837298,300,,93447168,93447168,26338304,,,,,,,,,0.63
256,32,0,0,0.0037967530079185963,0.003766664769500494,0.0038050671108067037,185,,173138944,173138944,38921216,,,,,,,,,0.76
256,64,0,0,0.007179212756454945,0.007174001075327396,0.007182474620640278,97,,332522496,332522496,64087040,,,,,,,,,0.79
256,95,1,0,0.010545880300924182,0.010540766175836325,0.010550381615757942,66,,487711744,487711744,89252864,,,,,,,,,0.84
256,98,1,0,0.010818465379998088,0.010811484884470701,0.010897131729871034,64,,502391808,502391808,91350016,,,,,,,,,0.84
256,128,0,0,0.013825805624946952,0.01381968567147851,0.013829950336366892,50,,651289600,651289600,114418688,,,,,,,,,0.88
256,167,1,0,0.01802910165861249,0.01802315004169941,0.018033670680597424,38,,846324736,846324736,145875968,,,,,,,,,0.93
256,256,0,0,0.02740339608862996,0.02739784773439169,0.02745163831859827,25,,1288823808,1288823808,215081984,,,,,,,,,1.05
352,1,1,0,0.0004936694167554379,0.00048076314851641655,0.0005327612161636353,300,,23847936,23847936,15242240,,,,,,,,,0.17
352,2,1,0,0.0006466950289905071,0.0006007477641105652,0.0006530201528221369,300,,32588800,32588800,16729088,,,,,,,,,0.21
352,4,1,0,0.0010451215784996748,0.0010071429423987865,0.0010477029718458652,300,,53257216,53257216,19702784,,,,,,,,,0.33
352,8,1,0,0.0018919985741376877,0.0017564259469509125,0.0018960712477564812,300,,89777152,89777152,26338304,,,,,,,,,0.59
352,16,1,0,0.0034223650582134724,0.0033967699855566025,0.0034289153292775152,205,,164422656,164422656,37544960,,,,,,,,,0.75
352,32,1,0,0.0067238169722259045,0.006719250697642565,0.006727127358317375,103,,317842432,317842432,61989888,,,,,,,,,0.79
352,64,1,0,0.013109968975186348,0.013103903736919165,0.013116390909999609,53,,616424448,616424448,108913664,,,,,,,,,0.87
352,95,1,0,0.02007468673400581,0.020067854784429073,0.02008023876696825,34,,909980672,909980672,155005952,,,,,,,,,0.95
352,98,1,0,0.02005004044622183,0.020042214076966047,0.02005409519188106,34,,936592384,936592384,159466496,,,,,,,,,0.95
352,128,1,0,0.02609572047367692,0.026087848003953695,0.026115603977814317,26,,1219617792,1219617792,204596224,,,,,,,,,1.03
352,167,1,0,0.03397490666247904,0.03386605205014348,0.03410461931489408,20,,1587459072,1587459072,262059008,,,,,,,,,1.13
352,256,1,1,,,,,,,,,,,,,,,,,0.01
384,1,0,0,0.0004919234197586775,0.0004836651496589184,0.000529197696596384,300,,24962048,24962048,15524864,,,,,,,,,0.17
384,2,0,0,0.0007078165654093027,0.0006602569483220577,0.000710205314680934,300,,36168704,36168704,17294336,,,,,,,,,0.22
